"['Praise You', 'Fatboy Slim']"
"['DOA', 'Foo Fighters']"
"['Pass The Courvoisier Part II', 'Busta Rhymes Featuring P. Diddy & Pharrell']"
"['It Will Rain', 'Bruno Mars']"
"['Notorious B.I.G.', ""The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim""]"
"['I Wanna Talk About Me', 'Toby Keith']"
"['The Cowboy In Me', 'Tim McGraw']"
"[""Day 'N' Nite"", 'Kid Cudi']"
"['Hide Away', 'Daya']"
"['Body Language', 'Jesse McCartney Featuring T-Pain']"
"['The Best Things In Life Are Free', 'Luther Vandross And Janet Jackson With BBD And Ralph Tresvant']"
"[""Age Ain't Nothing But A Number"", 'Aaliyah']"
"[""Live Like We're Dying"", 'Kris Allen']"
"['My Sharona (From ""Reality Bites"")', 'The Knack']"
"['Funky Y-2-C', 'The Puppies']"
"['New Day', '50 Cent Featuring Dr. Dre & Alicia Keys']"
"['Gotta Make It', 'Trey Songz Featuring Twista']"
"['Right Where You Want Me', 'Jesse McCartney']"
"['High End', 'Chris Brown Featuring Future & Young Thug']"
"['Rock And Roll Dreams Come Through', 'Meat Loaf']"
"['Before He Cheats', 'Carrie Underwood']"
"['Fire', 'Subway']"
"['My Love Is The Shhh!', ""Somethin' For The People Featuring Trina & Tamara""]"
"['I Will Survive', 'SaFire']"
"['Rather Be', 'Clean Bandit Featuring Jess Glynne']"
"['Side To Side', 'Ariana Grande Featuring Nicki Minaj']"
"['Bang Bang Bang', 'Selena Gomez & The Scene']"
"['Heard It All Before', 'Sunshine Anderson']"
"['Heavy', 'Linkin Park Featuring Kiiara']"
"['One More Chance', 'Michael Jackson']"
"['Wings Of A Butterfly', 'HIM']"
"['Together Forever', 'Lisette Melendez']"
"['Numb', 'Linkin Park']"
"['Unwritten', 'Natasha Bedingfield']"
"['Kiss Me Thru The Phone', ""Soulja Boy Tell 'em Featuring Sammie""]"
"['Case Of The Ex (Whatcha Gonna Do)', 'Mya']"
"[""You're Amazing"", 'Robert Palmer']"
"[""This Ain't A Scene, It's An Arms Race"", 'Fall Out Boy']"
"['Break Up', 'Mario Featuring Gucci Mane & Sean Garrett']"
"[""Drop It Like It's Hot"", 'Snoop Dogg Featuring Pharrell']"
"[""Lovin' You Is Fun"", 'Easton Corbin']"
"['Taboo', 'Don Omar']"
"[""You've Got A Way"", 'Shania Twain']"
"['Scream/Childhood', 'Michael Jackson & Janet Jackson']"
"['If You Had My Love', 'Jennifer Lopez']"
"['Strawberry Letter 23', 'Tevin Campbell']"
"['Dirt Off Your Shoulder', 'JAY-Z']"
"['Castle On The Hill', 'Ed Sheeran']"
"['Watch Me', 'Silento']"
"['Hanging By A Moment', 'Lifehouse']"
"['A Bay Bay', 'Hurricane Chris']"
"['The Heart Of The Matter', 'Don Henley']"
"['Bag Lady', 'Erykah Badu']"
"['Pour It Up', 'Rihanna']"
"['I Took A Pill In Ibiza', 'Mike Posner']"
"['Stargazing', 'Travis Scott']"
"['Pop Champagne', 'Jim Jones & Ron Browz Featuring Juelz Santana']"
"['Welcome To The Party', 'Diplo, French Montana & Lil Pump Featuring Zhavia Ward']"
"[""Where It's At"", 'Beck']"
"['Cool Girl', 'Tove Lo']"
"['Part Of Me, Part Of You', 'Glenn Frey']"
"['Why', 'Annie Lennox']"
"['Then What?', 'Clay Walker']"
"['When You Look Me In The Eyes', 'Jonas Brothers']"
"['Hold My Hand', 'Hootie & The Blowfish']"
"['A Milli', 'Lil Wayne']"
"['President Carter', 'Lil Wayne']"
"['Sexy Lady', 'Yung Berg Featuring Junior']"
"['What Goes Around Comes Around', 'Giggles']"
"['Dangerous', 'Busta Rhymes']"
"[""C'mon N' Ride It (The Train)"", ""Quad City DJ's""]"
"['We Made You', 'Eminem']"
"['I Wanna Be Your Girl', 'Icy Blu']"
"['Another Dumb Blonde', 'Hoku']"
"['Right Here (Departed)', 'Brandy']"
"['Can\'t Be Wasting My Time (From ""Don\'t Be A Menace..."")', 'Mona Lisa Featuring Lost Boyz']"
"['How To Hate', 'Lil Wayne Featuring T-Pain']"
"['Leflaur Leflah Eshkushka', 'Heltah Skeltah And O.G.C. As The Fab 5']"
"['4 In The Morning', 'Gwen Stefani']"
"['Soul Sista', 'Bilal']"
"['Gonorrhea', 'Lil Wayne Featuring Drake']"
"['I Keep On Loving You', 'Reba']"
"['T-Shirt', 'Thomas Rhett']"
"['I Loved Her First', 'Heartland']"
"['Sweat', 'Bow Wow Featuring Lil Wayne']"
"['Just A Girl', 'No Doubt']"
"['My, Oh My', 'The Wreckers']"
"['Here It Goes Again', 'OK Go']"
"['Back For Good', 'Take That']"
"[""Shoop Shoop (Never Stop Givin' You Love)"", 'Michael Cooper']"
"['Midwest Swing', 'St. Lunatics']"
"['Same Bitches', 'Post Malone Featuring G-Eazy & YG']"
"[""Messin' Around"", 'Pitbull Featuring Enrique Iglesias']"
"[""That's What Little Girls Are Made Of"", 'Raven-Symone']"
"['Turn The Night Up', 'Enrique Iglesias']"
"['Enjoy Yourself', 'A+']"
"['Beez In The Trap', 'Nicki Minaj Featuring 2 Chainz']"
"[""Baby I'm Back"", 'Baby Bash Featuring Akon']"
"['Baby Shark', 'Pinkfong']"
"['Sexy Love', 'Ne-Yo']"
"['At The Beginning', 'Richard Marx & Donna Lewis']"
"['Fall For Your Type', 'Jamie Foxx Featuring Drake']"
"['House Party', 'Sam Hunt']"
"['Barbie Tingz', 'Nicki Minaj']"
"['Beautiful In My Eyes', 'Joshua Kadison']"
"['So Long (Well, Well, Well)', 'Phajja']"
"[""Ain't That Just The Way"", 'Lutricia McNeal']"
"['[Freak] And U Know It', 'Adina Howard']"
"['Bartender Song', 'Rehab']"
"['World (The Price Of Love)', 'New Order']"
"['Come With Me', 'Puff Daddy Featuring Jimmy Page']"
"['Picture To Burn', 'Taylor Swift']"
"[""Don't You Come Cryin'"", 'Linear']"
"['This Is My Now', 'Jordin Sparks']"
"['Daysleeper', 'R.E.M.']"
"['Groove Thang', 'Zhane']"
"['MotorSport', 'Migos, Nicki Minaj & Cardi B']"
"['DJ Play A Love Song', 'Jamie Foxx Featuring Twista']"
"['Gone Crazy', 'Alan Jackson']"
"['Strawberry', 'Nicole Renee']"
"['If I Could Turn Back The Hands Of Time', 'R. Kelly']"
"['Rainbow', 'Kacey Musgraves']"
"[""I'm Already There"", 'Lonestar']"
"[""As She's Walking Away"", 'Zac Brown Band Featuring Alan Jackson']"
"['Wrecking Ball', 'Miley Cyrus']"
"[""I'm To Blame"", 'Kip Moore']"
"['Treat Her Like A Lady', 'Joe']"
"['This I Promise You', ""'N Sync""]"
"['Moonlight On Water', 'Laura Branigan']"
"['Brian Wilson', 'Barenaked Ladies']"
"[""(There's No Place Like) Home For The Holidays"", 'Perry Como']"
"['Electrical Storm', 'U2']"
"[""It Won't Stop"", 'Sevyn Streeter Featuring Chris Brown']"
"['Anywhere With You', 'Jake Owen']"
"[""G'd Up"", 'Snoop Dogg Presents Tha Eastsidaz']"
"['Man Of The Year', 'ScHoolboy Q']"
"['In The Ayer', 'Flo Rida Featuring will.i.am']"
"['The Heart Of Dixie', 'Danielle Bradbery']"
"['All About That Bass', 'Meghan Trainor']"
"['Circle', 'Marques Houston']"
"['Stay (I Missed You) (From ""Reality Bites"")', 'Lisa Loeb & Nine Stories']"
"['Good Girl', 'Carrie Underwood']"
"[""He Can't Love U"", 'Jagged Edge']"
"[""When You're Gone/Free To Decide"", 'The Cranberries']"
"['Better Life', 'Keith Urban']"
"['Shamrocks And Shenanigans (Boom Shalock Lock Boom)', 'House Of Pain']"
"['Better Now', 'Post Malone']"
"['Tic Toc', 'Lords Of The Underground']"
"['Lost', 'Gorilla Zoe']"
"['I Know', 'Dionne Farris']"
"['Right Now', 'Al B. Sure!']"
"['Cry', 'Faith Hill']"
"[""Everybody's Free (To Feel Good)"", 'Rozalla']"
"['Then Came You', 'T.P.E.']"
"['NAStradamus', 'Nas']"
"['Like The Way I Do/If I Wanted To', 'Melissa Etheridge']"
"[""Fa All Y'all"", 'Da Brat']"
"['Layla', 'Eric Clapton']"
"['Marry The Night', 'Lady Gaga']"
"['Replay', 'Zendaya']"
"[""Llame Pa' Verte"", 'Wisin & Yandel']"
"['Get A Life', 'Soul II Soul']"
"['Every Morning', 'Sugar Ray']"
"['Without You', 'Hinder']"
"['A Little Less Sixteen Candles, A Little More Touch Me', 'Fall Out Boy']"
"['Stay With You', 'Goo Goo Dolls']"
"['Just The Two Of Us', 'Will Smith']"
"['Somebody That I Used To Know', 'Gotye Featuring Kimbra']"
"['Bills, Bills, Bills', ""Destiny's Child""]"
"['Somethin Tells Me', 'Bryson Tiller']"
"['N 2 Gether Now', 'Limp Bizkit Featuring Method Man']"
"['Now Or Never', 'High School Musical 3 Cast']"
"['Hero Of The Day', 'Metallica']"
"['Fiesta', 'R. Kelly Featuring Jay-Z']"
"['Just Lose It', 'Eminem']"
"['Can You Feel Me', 'Dru Down']"
"[""Moves Like Jagger / Jumpin' Jack Flash"", 'Glee Cast']"
"['Still Will', '50 Cent Featuring Akon']"
"[""Sun's Gonna Rise"", 'Sass Jordan']"
"['Wherever You Will Go', 'The Calling']"
"['Make Her Say', 'Kid Cudi Featuring Kanye West & Common']"
"['Jealous Again', 'The Black Crowes']"
"['IDOL', 'BTS Featuring Nicki Minaj']"
"[""You'll Be There"", 'George Strait']"
"['Tongue Tied', 'Grouplove']"
"[""It's My Life"", 'No Doubt']"
"['Bounce Back', 'Alisha']"
"['You Remind Me (From ""Strictly Business"")', 'Mary J. Blige']"
"['Beneath Your Beautiful', 'Labrinth Featuring Emeli Sande']"
"['More Than A Woman', 'Aaliyah']"
"['Rapture (Tastes So Sweet)', 'iio']"
"['Round And Round', 'Tevin Campbell']"
"[""Rockin' That Thang"", 'The-Dream']"
"[""That's The Way Love Goes"", 'Janet Jackson']"
"['Hello', 'Martin Solveig & Dragonette']"
"['Vice', 'Miranda Lambert']"
"['So Hard', 'Pet Shop Boys']"
"['Under Pressure', 'Queen & David Bowie']"
"['Stutter', 'Elastica']"
"['Simple', 'Florida Georgia Line']"
"['Like We Never Loved At All', 'Faith Hill']"
"['Boom Clap', 'Charli XCX']"
"['Cold Shower', 'Erin Cruise']"
"[""You're The One"", 'Guerilla Black Featuring Mario Winans']"
"['Only Happy When It Rains', 'Garbage']"
"[""Just Got Started Lovin' You"", 'James Otto']"
"['Postcard From Paris', 'The Band Perry']"
"[""Don't Phunk With My Heart"", 'The Black Eyed Peas']"
"['Thinking Of You', 'Tony Toni Tone']"
"['If We Were A Movie', 'Hannah Montana']"
"['No One But You (From ""Baps"")', 'Veronica (Featuring Craig Mack)']"
"['Song For Another Time', 'Old Dominion']"
"['That Girl', 'Frankie J Featuring Mannie Fresh & Chamillionaire']"
"['Valuable Pain', 'YoungBoy Never Broke Again']"
"[""Let's Get Married"", 'Jagged Edge']"
"['OTW', 'Khalid, Ty Dolla $ign & 6LACK']"
"['teachme', 'Musiq Soulchild']"
"['G.H.E.T.T.O.U.T.', 'Changing Faces']"
"[""What You Won't Do For Love"", 'Go West']"
"['Me-U=Blue', 'Glenn Medeiros (Featuring The Stylistics)']"
"['Trading Places', 'Usher']"
"['Happy Xmas (War Is Over)', 'John & Yoko/The Plastic Ono Band With The Harlem Community Choir']"
"['Soldier Of Love', 'Sade']"
"[""This Ain't No Love Song"", 'Trace Adkins']"
"['New Man', 'Ed Sheeran']"
"['My Name Is', 'Eminem']"
"['Tell The Truth', 'Jude Cole']"
"[""We Really Shouldn't Be Doing This"", 'George Strait']"
"['A Girl Like You', 'The Smithereens']"
"['Seasons Of Love', 'Cast Of Rent']"
"[""I'm A Flirt"", 'R. Kelly Or Bow Wow (Featuring T.I. & T-Pain)']"
"['Game Over (Flip)', ""Lil' Flip""]"
"['Rhythm Of Love', 'DJ Company']"
"['Pink + White', 'Frank Ocean']"
"['Enter Sandman', 'Metallica']"
"['In My Nature', ""Nuttin' Nyce""]"
"['Girlfriend', ""'N Sync Featuring Nelly""]"
"['Do It Again (Put Ya Hands Up)', 'Jay-Z Featuring Beanie Sigel & Amil']"
"['I Just Wanna Love U (Give It 2 Me)', 'JAY-Z']"
"[""I'll Be There"", 'Joyce ""Fenderella"" Irby']"
"[""I'm Alive"", 'Kenny Chesney With Dave Matthews']"
"['As Good As I Once Was', 'Toby Keith']"
"['Think', 'Information Society']"
"['If Tomorrow Never Comes', 'Joose']"
"['Hypnotize', 'System Of A Down']"
"['She Knows', 'J. Cole Featuring Amber Coffman & The Cults']"
"['Look Into My Eyes (From ""Batman & Robin"")', 'Bone Thugs-N-Harmony']"
"['Again', 'Fetty Wap']"
"['Make Me A Song', 'Kiley Dean']"
"['911', 'Wyclef Jean Featuring Mary J. Blige']"
"['Cross The Border', ""Philly's Most Wanted""]"
"['True', 'Ryan Cabrera']"
"[""I'm On A Boat"", 'The Lonely Island Featuring T-Pain']"
"['Burning Man', 'Dierks Bentley Featuring Brothers Osborne']"
"['The Baby', 'Blake Shelton']"
"['Bills', 'LunchMoney Lewis']"
"['How Come', 'D12']"
"['Gimme That', 'Chris Brown Featuring Lil Wayne']"
"['Night And Day', 'Bette Midler']"
"['They Like It Slow', 'H-Town']"
"['Constant Craving', 'k.d. lang']"
"[""How Come You Don't Call Me"", 'Alicia Keys']"
"['Come & Talk To Me', 'Jodeci']"
"['Check On It', 'Beyonce Featuring Slim Thug']"
"['Black Widow', 'Iggy Azalea Featuring Rita Ora']"
"['I Still Love You', 'Next']"
"['Boombastic/In The Summertime', 'Shaggy']"
"['Hit That', 'The Offspring']"
"['Tonight', 'Jonas Brothers']"
"['Water', 'Brad Paisley']"
"['Amnesia', '5 Seconds Of Summer']"
"['Maybe Not Tonight', 'Sammy Kershaw & Lorrie Morgan']"
"['How Do I Live (From ""Con Air"")', 'Trisha Yearwood']"
"['Motivation', 'Kelly Rowland Featuring Lil Wayne']"
"['Lullaby', 'Shawn Mullins']"
"['If I Had Eyes', 'Jack Johnson']"
"[""You're Not Alone"", 'Olive']"
"['Gotta Man', 'Eve']"
"['Drive', 'Incubus']"
"['Molly', 'Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall']"
"['Streets Of Philadelphia (From ""Philadelphia"")', 'Bruce Springsteen']"
"['Foldin Clothes', 'J. Cole']"
"[""Thinkin' Back"", 'Color Me Badd']"
"['Get Up (Move Boy Move)', 'AB Logic']"
"['Wall To Wall', 'Chris Brown']"
"['Sit Next To Me', 'Foster The People']"
"[""I Can't Take You Anywhere"", 'Scotty Emerick With Toby Keith']"
"['Give Me That', 'Webbie Featuring Bun B']"
"['Put Your Records On', 'Corinne Bailey Rae']"
"['Candy Everybody Wants', '10,000 Maniacs']"
"['Falling In Love', 'New Born']"
"['You Light Up My Life', 'LeAnn Rimes']"
"[""I'm On One"", 'DJ Khaled Featuring Drake, Rick Ross & Lil Wayne']"
"['Love Is A Killer', 'Vixen']"
"['Patty Cake', 'Kodak Black']"
"['Lip Gloss', 'Lil Mama']"
"['December 1963 (Oh, What A Night)', 'The 4 Seasons']"
"['My Love', 'Little Texas']"
"[""What If She's An Angel"", 'Tommy Shane Steiner']"
"['Who You Are', 'Pearl Jam']"
"['The Way You Love Me', 'Faith Hill']"
"['Fade', 'Staind']"
"['Ice Tray', 'Quavo & Lil Yachty']"
"['Left, Right, Left', 'Drama']"
"['Keep The Faith', 'Bon Jovi']"
"['Anywhere', ""112 Featuring Lil'z""]"
"['Doe Boy Fresh', 'Three 6 Mafia Featuring Chamillionaire']"
"[""Nothin' My Love Can't Fix"", 'Joey Lawrence']"
"[""Don't Stop Movin'"", ""Livin' Joy""]"
"['Ching-A-Ling', 'Missy Elliott']"
"['True Colors', 'Zedd & Kesha']"
"['Something Like That', 'Tim McGraw']"
"[""Feenin'"", 'Jodeci']"
"['Gots Ta Be', 'B2K']"
"[""I'll Be"", 'Edwin McCain']"
"['Send Me An Angel', 'Scorpions']"
"['I Bet', 'Ciara']"
"['Moves', 'Big Sean']"
"['It Must Be Love', 'Alan Jackson']"
"['Flood', 'Jars Of Clay']"
"['I Love College', 'Asher Roth']"
"[""Don't Wanna Try"", 'Frankie J']"
"['Fly Over States', 'Jason Aldean']"
"['I Turn To You', 'Christina Aguilera']"
"['Six-Pack Summer', 'Phil Vassar']"
"['I Dreamed A Dream', 'Susan Boyle']"
"['At Night I Pray', 'Wild Orchid']"
"[""It's Over Now"", 'Cause And Effect']"
"['I Want To Come Over', 'Melissa Etheridge']"
"['Real Love', 'Skyy']"
"['Love For Love', 'Robin S.']"
"['There She Goes', 'Sixpence None The Richer']"
"['Drink To That All Night', 'Jerrod Niemann']"
"['Bitch', 'Meredith Brooks']"
"[""Sometimes (It's A Bitch)"", 'Stevie Nicks']"
"['Humble And Kind', 'Tim McGraw']"
"['Too Much', 'Drake']"
"['Lying From You', 'Linkin Park']"
"['Marry Me', 'Train']"
"['Boom!', 'Lil Yachty Featuring Ugly God']"
"['Natural One (From ""Kids"")', 'Folk Implosion']"
"['Do I Have To Say The Words?', 'Bryan Adams']"
"['Strike It Up', 'Black Box']"
"['Stand By Me', '4 The Cause']"
"['Let Me', 'Pat Green']"
"['Dreaming Of You', 'Selena']"
"['I Saw God Today', 'George Strait']"
"['Breaking Free', 'Zac Efron, Andrew Seeley & Vanessa Anne Hudgens']"
"['My Chick Bad', 'Ludacris Featuring Nicki Minaj']"
"[""If You Think I'm Jiggy"", 'The Lox']"
"['Where Have You Been', 'Rihanna']"
"['Come And See Me', 'PARTYNEXTDOOR Featuring Drake']"
"['Wasted', 'Gucci Mane Featuring Plies Or OJ Da Juiceman']"
"['Jesus Walks', 'Kanye West']"
"['I Should Be Laughing', 'Patty Smyth']"
"['Backwoods', 'Justin Moore']"
"['Maybe', 'Sick Puppies']"
"['There You Go', 'P!nk']"
"['Closer', 'The Chainsmokers Featuring Halsey']"
"['Bat Country', 'Avenged Sevenfold']"
"['This Is For The Lover In You', 'Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels']"
"['Best Friend', 'Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe']"
"['After Party', 'Koffee Brown']"
"['Still Ballin', '2Pac Featuring Trick Daddy']"
"['Who Knew', 'P!nk']"
"[""I'd Rather"", 'Luther Vandross']"
"['Dear Future Husband', 'Meghan Trainor']"
"[""5 O'Clock"", 'Nonchalant']"
"[""I Can't Sleep Baby (If I)"", 'R. Kelly']"
"['Die Young', 'Ke$ha']"
"['Somewhere With You', 'Kenny Chesney']"
"[""Miss Movin' On"", 'Fifth Harmony']"
"['Fake It', 'Seether']"
"['She Misses Him', 'Tim Rushlow']"
"['Tuscan Leather', 'Drake']"
"['I Swear', 'All-4-One']"
"['Party Up (Up In Here)', 'DMX']"
"['I Want It That Way', 'Backstreet Boys']"
"['Live A Little', 'Kenny Chesney']"
"['X', 'Xzibit']"
"['Arab Money', 'Busta Rhymes Featuring Ron Browz']"
"['Hanging On', 'Cheyenne Kimball']"
"['Pork And Beans', 'Weezer']"
"['Thoia Thoing', 'R. Kelly']"
"['(It) Feels So Good', 'Steven Tyler']"
"['Black Magic', 'Little Mix']"
"['4 Ever', ""Lil' Mo Featuring Fabolous""]"
"['Sun Daze', 'Florida Georgia Line']"
"['The Obvious Child', 'Paul Simon']"
"['Dear Lie', 'TLC']"
"[""Love's The Only House"", 'Martina McBride']"
"[""Buzzin'"", 'Mann']"
"['My Life', 'The Game Featuring Lil Wayne']"
"['Now & Later', 'Sage The Gemini']"
"['Love Of A Woman', 'Travis Tritt']"
"[""You're The Inspiration"", 'Peter Cetera Featuring Az Yet']"
"['Missing You Now', 'Michael Bolton']"
"['Sure Be Cool If You Did', 'Blake Shelton']"
"['Right Thru Me', 'Nicki Minaj']"
"['So Much In Love', 'All-4-One']"
"[""Part Time Lover/I'm Still In Love With You"", 'H-Town/Al B. Sure!']"
"['Little Bitty', 'Alan Jackson']"
"['The Swalk', 'Notorious']"
"['Over', 'Drake']"
"['The Street Mix', 'Mag 7']"
"['Outside', 'Calvin Harris Featuring Ellie Goulding']"
"['Born 2 B.R.E.E.D.', 'Monie Love']"
"[""Feelin' It"", 'Scotty McCreery']"
"['Lady', 'Lenny Kravitz']"
"['Smack That', 'Akon Featuring Eminem']"
"['Just Like Jesse James', 'Cher']"
"['I Can', 'Nas']"
"['Rake It Up', 'Yo Gotti Featuring Nicki Minaj']"
"['What Would You Do?', 'The Isley Brothers Featuring Ronald Isley']"
"['Chemicals React', 'Aly & AJ']"
"['Work To Do', 'Vanessa Williams']"
"['Space Cadet', 'Metro Boomin Featuring Gunna']"
"['Bizounce', 'Olivia']"
"['Cater 2 U', ""Destiny's Child""]"
"['Alright', 'Darius Rucker']"
"['Otherside', 'Red Hot Chili Peppers']"
"['The Lucky One', 'Faith Hill']"
"['Better As A Memory', 'Kenny Chesney']"
"['Caramel', 'City High Featuring Eve']"
"['Going Back To Cali', 'The Notorious B.I.G.']"
"['On Fire', 'Lloyd Banks']"
"['Gotta Go Solo', 'Patti LaBelle Featuring Ron Isley']"
"['I Hate This Part', 'The Pussycat Dolls']"
"['Really Really', 'Kevin Gates']"
"['Beers Ago', 'Toby Keith']"
"['Braid My Hair', 'Mario']"
"['Voices That Care', 'Voices That Care']"
"['Feds Watching', '2 Chainz Featuring Pharrell']"
"['I Wanna Love You (From ""Class Act"")', 'Jade']"
"['Taste', 'Tyga Featuring Offset']"
"['White Flag', 'Dido']"
"[""It's Your Song"", 'Garth Brooks']"
"['I Hate U', 'Prince']"
"[""A Woman's Love"", 'Alan Jackson']"
"['Dirty Laundry', 'Carrie Underwood']"
"['OOOUUU', 'Young M.A']"
"['She Got It', '2 Pistols Featuring T-Pain & Tay Dizm']"
"[""There's Your Trouble"", 'Dixie Chicks']"
"[""Representin'"", 'Ludacris Featuring Kelly Rowland']"
"['Taking You Home', 'Don Henley']"
"['The Time Of My Life', 'David Cook']"
"['Temperature', 'Sean Paul']"
"['Goodbye To You', 'Michelle Branch']"
"['Hey Donna', 'Rhythm Syndicate']"
"['You', 'Bonnie Raitt']"
"['Jesus, Take The Wheel', 'Carrie Underwood']"
"['Drive', 'R.E.M.']"
"['For You I Will (From ""Space Jam"")', 'Monica']"
"['Behind These Hazel Eyes', 'Kelly Clarkson']"
"['Goodbye', 'Jagged Edge']"
"['Breathe Again', 'Toni Braxton']"
"['Foolish', 'Ashanti']"
"['Ghosts That We Knew', 'Mumford & Sons']"
"[""Backin' It Up"", 'Pardison Fontaine Featuring Cardi B']"
"['Stolen Dance', 'Milky Chance']"
"['Have A Heart', 'Bonnie Raitt']"
"[""Big Girls Don't Cry"", 'Fergie']"
"[""Never Alone (Eeyore's Lullaby)"", 'Tyler Collins']"
"['Dreams', 'Gabrielle']"
"['I Am Mine', 'Pearl Jam']"
"[""I Didn't Mean To Stay All Night"", 'Starship']"
"['Where Does That Leave Love', 'George LaMond']"
"['Yellow', 'Coldplay']"
"[""I'll Fly With You (L'amour Toujours)"", ""Gigi D'Agostino""]"
"['Small Town USA', 'Justin Moore']"
"['Pyramid', 'Charice Featuring Iyaz']"
"['Wake Me Up!', 'Avicii']"
"['The Greatest', 'Sia Featuring Kendrick Lamar']"
"['Midnight City', 'M83.']"
"[""I'm Not A Fool"", 'Immature']"
"['Let It Go', 'Demi Lovato']"
"['The Christmas Song (Chestnuts Roasting On An Open Fire)', 'Christina Aguilera']"
"['Sex With Me', 'Rihanna']"
"['I Hold On', 'Dierks Bentley']"
"['Lolly', 'Maejor Ali Featuring Juicy J & Justin Bieber']"
"['A.D.I.D.A.S.', 'Killer Mike Featuring Big Boi']"
"['Hooked On A Feeling (Ooga-Chaka)', 'Baby Talk']"
"['Some Girls (Dance With Women)', 'JC Chasez Featuring Dirt McGirt']"
"['Want To', 'Sugarland']"
"['Burning House', 'Cam']"
"['I Got The Hook Up!', 'Master P Featuring Sons Of Funk']"
"['Break Up In The End', 'Cole Swindell']"
"['Sentimental', 'Deborah Cox']"
"['Cry For Help', 'Rick Astley']"
"['Wasteland', '10 Years']"
"[""That's Not My Name"", 'The Ting Tings']"
"['I Love You Always Forever', 'Donna Lewis']"
"['Do You Believe Me Now', 'Jimmy Wayne']"
"['Smoke Break', 'Carrie Underwood']"
"['Outrageous', 'Britney Spears']"
"['Pimp Of The Year', 'Dru Down']"
"['Go For It! (Heart And Fire)', 'Joey B. Ellis & Tynetta Hare']"
"['I Believe', 'The Sounds Of Blackness']"
"[""Don't Think I Can't Love You"", 'Jake Owen']"
"['Breakdown', 'Fu-Schnickens']"
"['Rock', 'Plies']"
"[""Billy's Got His Beer Goggles On"", 'Neal McCoy']"
"['This Is The Way We Roll', 'M.C. Hammer']"
"['The Anthem', 'Pitbull Featuring Lil Jon']"
"['Let The Music Heal Your Soul', 'BRAVO All Stars']"
